[22:22:39:604] Test : recepteur...
[22:22:40:119] !REG(00) = 0b00001011
[22:22:40:328] REG(01) = 0b00111111
[22:22:40:352] REG(02) = 0b00000011
[22:22:40:385] REG(03) = 0b00000011
[22:22:40:385] REG(04) = 0b00000011
[22:22:40:423] REG(05) = 0b00000010
[22:22:40:456] REG(06) = 0b00100000
[22:22:40:456] REG(07) = 0b00001110
[22:22:40:494] REG(08) = 0b00000000
[22:22:40:518] REG(09) = 0b00000000
[22:22:40:542] REG(0A) = 0b10111110
[22:22:40:566] REG(0B) = 0b11000010
[22:22:40:589] REG(0C) = 0b11000011
[22:22:40:613] REG(0D) = 0b11000100
[22:22:40:637] REG(0E) = 0b11000101
[22:22:40:661] REG(0F) = 0b11000110
[22:22:40:684] REG(10) = 0b10111110
[22:22:40:708] REG(11) = 0b00000011
[22:22:40:732] REG(12) = 0b00000011
[22:22:40:756] REG(13) = 0b00000011
[22:22:40:779] REG(14) = 0b00000011
[22:22:40:803] REG(15) = 0b00000011
[22:22:40:837] REG(16) = 0b00000011
[22:22:40:837] REG(17) = 0b00010001
[22:22:40:875] REG(18) = 0b00000000
[22:22:40:908] REG(19) = 0b00000000
[22:22:40:908] REG(1A) = 0b00000000
[22:22:40:946] REG(1B) = 0b00000000
[22:22:40:979] REG(1C) = 0b00000000
[22:22:40:979] REG(1D) = 0b00000000
[22:22:41:013] DataSent = 0
[22:22:41:013] MaxRetry = 0
[22:22:41:040] DataReady = 0
